drug,strength,form,package_quantity,acquisition_cost,markup,pharmacy_fee,shipping_fee,final_price,brand_name,sku,retail_price_per_unit_UNRELIABLE,package_size_raw,volume_raw,package_quantity_status,product_slug,is_available,specialty_medication
Pramipexole Dihydrochloride,0.375mg,Bottle of 30 ER Tablets,30.0,,,,,22.77,Mirapex,73203060107520-30-Generic,79.79,30,30 ea,confirmed,pramipexoledihydrochloride-1_5mg-tablet,False,False
Pramipexole Dihydrochloride,0.75mg,Bottle of 30 ER Tablets,30.0,,,,,18.94,Mirapex,73203060107530-30-Generic,78.4,30,30 ea,confirmed,pramipexoledihydrochloride-1_5mg-tablet,False,False
Pramipexole Dihydrochloride,1.5mg,Bottle of 30 ER Tablets,30.0,,,,,41.8,Mirapex,73203060107540-30-Generic,99.16,30,30 ea,confirmed,pramipexoledihydrochloride-1_5mg-tablet,False,False
Pramipexole Dihydrochloride,2.25mg,Bottle of 30 ER Tablets,30.0,,,,,40.87,Mirapex,73203060107545-30-Generic,126.31,30,30 ea,confirmed,pramipexoledihydrochloride-1_5mg-tablet,False,False
Pramipexole Dihydrochloride,3.75mg,Bottle of 30 ER Tablets,30.0,,,,,38.83,Mirapex,73203060107555-30-Generic,167.04,30,30 ea,confirmed,pramipexoledihydrochloride-1_5mg-tablet,False,False
Pramipexole Dihydrochloride,4.5mg,Bottle of 30 ER Tablets,30.0,,,,,43.19,Mirapex,73203060107560-30-Generic,75.83,30,30 ea,confirmed,pramipexoledihydrochloride-1_5mg-tablet,False,False
Pramipexole Dihydrochloride ER,3mg,Bottle of 30 ER Tablets,30.0,,,,,62.47,Mirapex ER,73203060107550-30-Generic,152.76,30,30 ea,confirmed,pramipexole-dihydrochloride-er-3mg-tablet,False,False
Prasugrel HCl,10mg,Bottle of 30 Tablets,30.0,,,,,8.5,Effient,85158060100330-30-Generic,378.03,30,30 Tablets,confirmed,prasugrelhcl-10mg-tablet,False,False
Prasugrel HCl,5mg,Bottle of 30 Tablets,30.0,,,,,8.5,Effient,85158060100320-30-Generic,276.0,30,30 Tablets,confirmed,prasugrelhcl-10mg-tablet,False,False
Pravastatin,10mg,Tablet,90.0,,,,,5.9,Pravachol,39400065100320-Generic,0.9,90,,confirmed,pravastatin-10mg-tablet,False,False
Pravastatin,20mg,Tablet,90.0,,,,,5.83,Pravachol,39400065100330-Generic,0.86,90,,confirmed,pravastatin-10mg-tablet,False,False
Pravastatin,40mg,Tablet,90.0,,,,,6.31,Pravachol,39400065100340-Generic,1.07,90,,confirmed,pravastatin-10mg-tablet,False,False
Pravastatin,80mg,Tablet,90.0,,,,,7.45,Pravachol,39400065100360-Generic,2.02,90,,confirmed,pravastatin-10mg-tablet,False,False
Praziquantel,600mg,Tablet,6.0,,,,,1385.0,Biltricide,15000050000305-Generic,81.77,6,,confirmed,praziquantel-600mg-tablet-biltricide,False,False
Prazosin HCl,1mg,Capsule,100.0,,,,,8.86,Minipress,36202030100105-Generic,0.7,100,,confirmed,PrazosinHCl-1mg-Capsule,False,False
Prazosin HCl,2mg,Capsule,100.0,,,,,9.83,Minipress,36202030100110-Generic,10.5,100,,confirmed,PrazosinHCl-1mg-Capsule,False,False
Prazosin HCl,5mg,Capsule,100.0,,,,,12.73,Minipress,36202030100115-Generic,1.4,100,,confirmed,PrazosinHCl-1mg-Capsule,False,False
Prednisolone,15mg/5ml,mL,480.0,,,,,30.88,Prelone,22100040002020-Generic,0.88,480,,confirmed,prednisolone-15mg_5ml-ml,False,False
Prednisolone,5mg,Tablet,100.0,,,,,442.91,Millipred,22100040000305-Generic,16.57,100,,confirmed,prednisolone-5mg-tablet-millipred,False,False
